submission_id,RT,age,angle,correctness,expected,item,key_pressed,timeSpent,trial_number,trial_type
7917,2813,21,150,incorrect,different,14,f,3.10295,1,practice
7917,2055,21,150,correct,same,13,f,3.10295,2,practice
7917,1541,21,50,correct,same,13,f,3.10295,3,practice
7917,1415,21,50,correct,same,14,f,3.10295,4,practice
7917,1290,21,50,correct,different,15,j,3.10295,5,practice
7917,1528,21,150,correct,same,15,f,3.10295,6,practice
7917,26040,21,150,incorrect,different,13,f,3.10295,7,practice
7917,1480,21,50,correct,same,15,f,3.10295,8,practice
7917,1106,21,50,correct,different,13,j,3.10295,9,practice
7917,1107,21,150,correct,same,14,f,3.10295,10,practice
7917,1374,21,150,correct,different,15,j,3.10295,11,practice
7917,1539,21,50,correct,different,14,j,3.10295,12,practice
7917,1807,21,150,correct,same,11,f,3.10295,1,main
7917,1456,21,150,correct,same,4,f,3.10295,2,main
7917,1887,21,150,correct,different,1,j,3.10295,3,main
7917,1726,21,50,correct,different,12,j,3.10295,4,main
7917,1551,21,50,correct,different,7,j,3.10295,5,main
7917,1264,21,50,correct,same,9,f,3.10295,6,main
7917,1736,21,50,correct,different,11,j,3.10295,7,main
7917,1568,21,150,correct,same,10,f,3.10295,8,main
7917,1894,21,150,correct,same,2,f,3.10295,9,main
7917,1537,21,50,correct,different,4,j,3.10295,10,main
7917,1690,21,150,correct,same,6,f,3.10295,11,main
7917,1372,21,50,correct,same,5,f,3.10295,12,main
7917,1689,21,150,correct,different,9,j,3.10295,13,main
7917,1268,21,50,correct,same,8,f,3.10295,14,main
7917,1386,21,150,correct,same,9,f,3.10295,15,main
7917,1357,21,50,correct,same,7,f,3.10295,16,main
7917,1469,21,150,correct,same,5,f,3.10295,17,main
7917,2689,21,150,incorrect,different,7,f,3.10295,18,main
7917,1368,21,50,correct,different,9,j,3.10295,19,main
7917,2156,21,150,correct,same,8,f,3.10295,20,main
7917,1627,21,150,correct,different,6,j,3.10295,21,main
7917,1572,21,150,correct,different,8,j,3.10295,22,main
7917,1590,21,50,correct,different,6,j,3.10295,23,main
7917,1418,21,50,correct,same,10,f,3.10295,24,main
7917,1432,21,150,correct,different,3,j,3.10295,25,main
7917,1746,21,50,correct,different,5,j,3.10295,26,main
7917,1541,21,50,correct,different,10,j,3.10295,27,main
7917,1330,21,50,correct,same,4,f,3.10295,28,main
